Stock1,Stock2,Correlation
AAPL,AAPL,1.0
AXISBANK.NS,AAPL,0.038105188964603035
DRREDDY.NS,AAPL,0.04987792230957702
GOOGL,AAPL,0.4283158538775383
HDFCBANK.NS,AAPL,0.10105298516081852
HINDUNILVR.NS,AAPL,0.05016688343382417
ICICIBANK.NS,AAPL,0.07827652936832838
INFY.NS,AAPL,0.02280314064461766
ITC.NS,AAPL,0.040202908889942206
JSWSTEEL.NS,AAPL,0.10041956315791298
KOTAKBANK.NS,AAPL,0.04960136780137673
LTTS.NS,AAPL,0.038757597839930914
MARUTI.NS,AAPL,0.10357988138766704
MSFT,AAPL,0.41669204802912374
NESTLEIND.NS,AAPL,-0.011570423325761506
POWERGRID.NS,AAPL,0.06291492861079595
RELIANCE.NS,AAPL,0.11297234273110093
SHREECEM.NS,AAPL,0.05246908907134944
SUNPHARMA.NS,AAPL,-0.002510964599286304
TATASTEEL.NS,AAPL,0.11002110802946723
TCS.NS,AAPL,0.04753184450444056
ULTRACEMCO.NS,AAPL,0.09023830474427577
WIPRO.NS,AAPL,0.006701711422792737
AAPL,AXISBANK.NS,0.038105188964603035
AXISBANK.NS,AXISBANK.NS,1.0
DRREDDY.NS,AXISBANK.NS,0.23325985394169016
GOOGL,AXISBANK.NS,0.03656330622338748
HDFCBANK.NS,AXISBANK.NS,0.5540348410873078
HINDUNILVR.NS,AXISBANK.NS,0.13288402423119805
ICICIBANK.NS,AXISBANK.NS,0.5684478491277081
INFY.NS,AXISBANK.NS,0.22347688212689795
ITC.NS,AXISBANK.NS,0.23151868507254342
JSWSTEEL.NS,AXISBANK.NS,0.4563741648898619
KOTAKBANK.NS,AXISBANK.NS,0.38612402854708455
LTTS.NS,AXISBANK.NS,0.19240204340631425
MARUTI.NS,AXISBANK.NS,0.3498173880743167
MSFT,AXISBANK.NS,-0.024737897202998415
NESTLEIND.NS,AXISBANK.NS,0.2561160874538133
POWERGRID.NS,AXISBANK.NS,0.31337217153733843
RELIANCE.NS,AXISBANK.NS,0.40642691175089485
SHREECEM.NS,AXISBANK.NS,0.3450015674467358
SUNPHARMA.NS,AXISBANK.NS,0.13998671338091814
TATASTEEL.NS,AXISBANK.NS,0.4313487454274022
TCS.NS,AXISBANK.NS,0.2115717342300907
ULTRACEMCO.NS,AXISBANK.NS,0.45639453929059487
WIPRO.NS,AXISBANK.NS,0.20075990619171494
AAPL,DRREDDY.NS,0.04987792230957702
AXISBANK.NS,DRREDDY.NS,0.23325985394169016
DRREDDY.NS,DRREDDY.NS,1.0
GOOGL,DRREDDY.NS,0.002722730805184359
HDFCBANK.NS,DRREDDY.NS,0.19080220375748555
HINDUNILVR.NS,DRREDDY.NS,0.07760895017982984
ICICIBANK.NS,DRREDDY.NS,0.15649736161360103
INFY.NS,DRREDDY.NS,0.21027073505145777
ITC.NS,DRREDDY.NS,0.16380560183936282
JSWSTEEL.NS,DRREDDY.NS,0.30530658513370207
KOTAKBANK.NS,DRREDDY.NS,0.09282800961865897
LTTS.NS,DRREDDY.NS,0.18930796561222435
MARUTI.NS,DRREDDY.NS,0.22738298041123156
MSFT,DRREDDY.NS,0.050983962022681115
NESTLEIND.NS,DRREDDY.NS,0.15690525332742386
POWERGRID.NS,DRREDDY.NS,0.20297287487939233
RELIANCE.NS,DRREDDY.NS,0.2608184652139506
SHREECEM.NS,DRREDDY.NS,0.16198391862604858
SUNPHARMA.NS,DRREDDY.NS,0.4287157823121037
TATASTEEL.NS,DRREDDY.NS,0.31215075849119256
TCS.NS,DRREDDY.NS,0.20443457969481338
ULTRACEMCO.NS,DRREDDY.NS,0.26323610547260895
WIPRO.NS,DRREDDY.NS,0.21800610207044963
AAPL,GOOGL,0.4283158538775383
AXISBANK.NS,GOOGL,0.03656330622338748
DRREDDY.NS,GOOGL,0.002722730805184359
GOOGL,GOOGL,1.0
HDFCBANK.NS,GOOGL,0.06346897855388497
HINDUNILVR.NS,GOOGL,0.03935990235738702
ICICIBANK.NS,GOOGL,0.031020637184256163
INFY.NS,GOOGL,0.07074694253268538
ITC.NS,GOOGL,0.07326642926315982
JSWSTEEL.NS,GOOGL,0.03759316297867283
KOTAKBANK.NS,GOOGL,0.018220556989812155
LTTS.NS,GOOGL,0.05350708128712356
MARUTI.NS,GOOGL,0.07412944538646715
MSFT,GOOGL,0.4196723664761633
NESTLEIND.NS,GOOGL,0.006677081694175255
POWERGRID.NS,GOOGL,0.03046980659856647
RELIANCE.NS,GOOGL,0.08777651394025056
SHREECEM.NS,GOOGL,0.06287836018562913
SUNPHARMA.NS,GOOGL,0.023390720608016346
TATASTEEL.NS,GOOGL,0.11669890795980886
TCS.NS,GOOGL,0.09697531137858831
ULTRACEMCO.NS,GOOGL,0.06605667621086375
WIPRO.NS,GOOGL,0.08134261622897715
AAPL,HDFCBANK.NS,0.10105298516081852
AXISBANK.NS,HDFCBANK.NS,0.5540348410873078
DRREDDY.NS,HDFCBANK.NS,0.19080220375748555
GOOGL,HDFCBANK.NS,0.06346897855388497
HDFCBANK.NS,HDFCBANK.NS,1.0
HINDUNILVR.NS,HDFCBANK.NS,0.1526233785686841
ICICIBANK.NS,HDFCBANK.NS,0.5656916270052874
INFY.NS,HDFCBANK.NS,0.20470469771955477
ITC.NS,HDFCBANK.NS,0.2571072398212428
JSWSTEEL.NS,HDFCBANK.NS,0.4236941733554903
KOTAKBANK.NS,HDFCBANK.NS,0.4436321593616079
LTTS.NS,HDFCBANK.NS,0.23553404912969897
MARUTI.NS,HDFCBANK.NS,0.3382987070503552
MSFT,HDFCBANK.NS,0.019488986869449037
NESTLEIND.NS,HDFCBANK.NS,0.19433323062123198
POWERGRID.NS,HDFCBANK.NS,0.34901063499933
RELIANCE.NS,HDFCBANK.NS,0.3977476121537918
SHREECEM.NS,HDFCBANK.NS,0.39012144366341445
SUNPHARMA.NS,HDFCBANK.NS,0.14997496051446457
TATASTEEL.NS,HDFCBANK.NS,0.3790326963476411
TCS.NS,HDFCBANK.NS,0.18630995824229837
ULTRACEMCO.NS,HDFCBANK.NS,0.4818095628564417
WIPRO.NS,HDFCBANK.NS,0.20483277747180428
AAPL,HINDUNILVR.NS,0.05016688343382417
AXISBANK.NS,HINDUNILVR.NS,0.13288402423119805
DRREDDY.NS,HINDUNILVR.NS,0.07760895017982984
GOOGL,HINDUNILVR.NS,0.03935990235738702
HDFCBANK.NS,HINDUNILVR.NS,0.1526233785686841
HINDUNILVR.NS,HINDUNILVR.NS,1.0
ICICIBANK.NS,HINDUNILVR.NS,0.15221268242179867
INFY.NS,HINDUNILVR.NS,0.15212272521451167
ITC.NS,HINDUNILVR.NS,0.39612150611778096
JSWSTEEL.NS,HINDUNILVR.NS,0.15372500346801715
KOTAKBANK.NS,HINDUNILVR.NS,0.2354627766233365
LTTS.NS,HINDUNILVR.NS,0.20105641687839892
MARUTI.NS,HINDUNILVR.NS,0.2500026083931406
MSFT,HINDUNILVR.NS,0.06677553665691555
NESTLEIND.NS,HINDUNILVR.NS,0.573309704079188
POWERGRID.NS,HINDUNILVR.NS,0.08101195520506765
RELIANCE.NS,HINDUNILVR.NS,0.15668519852648258
SHREECEM.NS,HINDUNILVR.NS,0.22295360728548583
SUNPHARMA.NS,HINDUNILVR.NS,0.10368029818568465
TATASTEEL.NS,HINDUNILVR.NS,0.07587813708374437
TCS.NS,HINDUNILVR.NS,0.18996818699338297
ULTRACEMCO.NS,HINDUNILVR.NS,0.22877584346408725
WIPRO.NS,HINDUNILVR.NS,0.044633400362291006
AAPL,ICICIBANK.NS,0.07827652936832838
AXISBANK.NS,ICICIBANK.NS,0.5684478491277081
DRREDDY.NS,ICICIBANK.NS,0.15649736161360103
GOOGL,ICICIBANK.NS,0.031020637184256163
HDFCBANK.NS,ICICIBANK.NS,0.5656916270052874
HINDUNILVR.NS,ICICIBANK.NS,0.15221268242179867
ICICIBANK.NS,ICICIBANK.NS,1.0
INFY.NS,ICICIBANK.NS,0.20462228580565345
ITC.NS,ICICIBANK.NS,0.2413051044864925
JSWSTEEL.NS,ICICIBANK.NS,0.4141622284822973
KOTAKBANK.NS,ICICIBANK.NS,0.389776408121259
LTTS.NS,ICICIBANK.NS,0.21652787148014324
MARUTI.NS,ICICIBANK.NS,0.2953240295237022
MSFT,ICICIBANK.NS,0.03725831689409169
NESTLEIND.NS,ICICIBANK.NS,0.22235538535235022
POWERGRID.NS,ICICIBANK.NS,0.323635207980861
RELIANCE.NS,ICICIBANK.NS,0.3489277343176001
SHREECEM.NS,ICICIBANK.NS,0.37828305567411125
SUNPHARMA.NS,ICICIBANK.NS,0.2218847692345103
TATASTEEL.NS,ICICIBANK.NS,0.3757743524577837
TCS.NS,ICICIBANK.NS,0.1826641147859193
ULTRACEMCO.NS,ICICIBANK.NS,0.47109448623894
WIPRO.NS,ICICIBANK.NS,0.21718337608579374
AAPL,INFY.NS,0.02280314064461766
AXISBANK.NS,INFY.NS,0.22347688212689795
DRREDDY.NS,INFY.NS,0.21027073505145777
GOOGL,INFY.NS,0.07074694253268538
HDFCBANK.NS,INFY.NS,0.20470469771955477
HINDUNILVR.NS,INFY.NS,0.15212272521451167
ICICIBANK.NS,INFY.NS,0.20462228580565345
INFY.NS,INFY.NS,1.0
ITC.NS,INFY.NS,0.1302130407999616
JSWSTEEL.NS,INFY.NS,0.27340705299583934
KOTAKBANK.NS,INFY.NS,0.1763177956262763
LTTS.NS,INFY.NS,0.3805559792284342
MARUTI.NS,INFY.NS,0.1870308934681484
MSFT,INFY.NS,0.1032019052058871
NESTLEIND.NS,INFY.NS,0.1502303408528018
POWERGRID.NS,INFY.NS,0.14140199468586154
RELIANCE.NS,INFY.NS,0.24151982753637904
SHREECEM.NS,INFY.NS,0.19324154267796637
SUNPHARMA.NS,INFY.NS,0.1566837983183139
TATASTEEL.NS,INFY.NS,0.21559908731157332
TCS.NS,INFY.NS,0.7358255212681754
ULTRACEMCO.NS,INFY.NS,0.19122017223983728
WIPRO.NS,INFY.NS,0.6214452652169945
AAPL,ITC.NS,0.040202908889942206
AXISBANK.NS,ITC.NS,0.23151868507254342
DRREDDY.NS,ITC.NS,0.16380560183936282
GOOGL,ITC.NS,0.07326642926315982
HDFCBANK.NS,ITC.NS,0.2571072398212428
HINDUNILVR.NS,ITC.NS,0.39612150611778096
ICICIBANK.NS,ITC.NS,0.2413051044864925
INFY.NS,ITC.NS,0.1302130407999616
ITC.NS,ITC.NS,1.0
JSWSTEEL.NS,ITC.NS,0.22940335537106749
KOTAKBANK.NS,ITC.NS,0.26518581892703363
LTTS.NS,ITC.NS,0.1783319663356657
MARUTI.NS,ITC.NS,0.25740430844411616
MSFT,ITC.NS,0.07285506295592718
NESTLEIND.NS,ITC.NS,0.3808084623762844
POWERGRID.NS,ITC.NS,0.19168867191799524
RELIANCE.NS,ITC.NS,0.3230949359215626
SHREECEM.NS,ITC.NS,0.21741587576367727
SUNPHARMA.NS,ITC.NS,0.16149938189097793
TATASTEEL.NS,ITC.NS,0.2005310807558845
TCS.NS,ITC.NS,0.16922140736308414
ULTRACEMCO.NS,ITC.NS,0.2689020833554589
WIPRO.NS,ITC.NS,0.12080699947464814
AAPL,JSWSTEEL.NS,0.10041956315791298
AXISBANK.NS,JSWSTEEL.NS,0.4563741648898619
DRREDDY.NS,JSWSTEEL.NS,0.30530658513370207
GOOGL,JSWSTEEL.NS,0.03759316297867283
HDFCBANK.NS,JSWSTEEL.NS,0.4236941733554903
HINDUNILVR.NS,JSWSTEEL.NS,0.15372500346801715
ICICIBANK.NS,JSWSTEEL.NS,0.4141622284822973
INFY.NS,JSWSTEEL.NS,0.27340705299583934
ITC.NS,JSWSTEEL.NS,0.22940335537106749
JSWSTEEL.NS,JSWSTEEL.NS,1.0
KOTAKBANK.NS,JSWSTEEL.NS,0.3682913371042426
LTTS.NS,JSWSTEEL.NS,0.2695200409561562
MARUTI.NS,JSWSTEEL.NS,0.39770441261520767
MSFT,JSWSTEEL.NS,0.025711842639465403
NESTLEIND.NS,JSWSTEEL.NS,0.2885085729412585
POWERGRID.NS,JSWSTEEL.NS,0.4504259317542607
RELIANCE.NS,JSWSTEEL.NS,0.43163288659292026
SHREECEM.NS,JSWSTEEL.NS,0.4380588333247986
SUNPHARMA.NS,JSWSTEEL.NS,0.30865681077478047
TATASTEEL.NS,JSWSTEEL.NS,0.7534824244089272
TCS.NS,JSWSTEEL.NS,0.25919104214934313
ULTRACEMCO.NS,JSWSTEEL.NS,0.5447029194770393
WIPRO.NS,JSWSTEEL.NS,0.3366236049828746
AAPL,KOTAKBANK.NS,0.04960136780137673
AXISBANK.NS,KOTAKBANK.NS,0.38612402854708455
DRREDDY.NS,KOTAKBANK.NS,0.09282800961865897
GOOGL,KOTAKBANK.NS,0.018220556989812155
HDFCBANK.NS,KOTAKBANK.NS,0.4436321593616079
HINDUNILVR.NS,KOTAKBANK.NS,0.2354627766233365
ICICIBANK.NS,KOTAKBANK.NS,0.389776408121259
INFY.NS,KOTAKBANK.NS,0.1763177956262763
ITC.NS,KOTAKBANK.NS,0.26518581892703363
JSWSTEEL.NS,KOTAKBANK.NS,0.3682913371042426
KOTAKBANK.NS,KOTAKBANK.NS,1.0
LTTS.NS,KOTAKBANK.NS,0.21712926966918664
MARUTI.NS,KOTAKBANK.NS,0.29920331489678637
MSFT,KOTAKBANK.NS,0.05936343578131661
NESTLEIND.NS,KOTAKBANK.NS,0.21826824574511378
POWERGRID.NS,KOTAKBANK.NS,0.2599605038058157
RELIANCE.NS,KOTAKBANK.NS,0.32982579681269764
SHREECEM.NS,KOTAKBANK.NS,0.30310748030132934
SUNPHARMA.NS,KOTAKBANK.NS,0.1546086740668958
TATASTEEL.NS,KOTAKBANK.NS,0.32279748596304375
TCS.NS,KOTAKBANK.NS,0.18186534505964433
ULTRACEMCO.NS,KOTAKBANK.NS,0.3861544748643479
WIPRO.NS,KOTAKBANK.NS,0.221980606984511
AAPL,LTTS.NS,0.038757597839930914
AXISBANK.NS,LTTS.NS,0.19240204340631425
DRREDDY.NS,LTTS.NS,0.18930796561222435
GOOGL,LTTS.NS,0.05350708128712356
HDFCBANK.NS,LTTS.NS,0.23553404912969897
HINDUNILVR.NS,LTTS.NS,0.20105641687839892
ICICIBANK.NS,LTTS.NS,0.21652787148014324
INFY.NS,LTTS.NS,0.3805559792284342
ITC.NS,LTTS.NS,0.1783319663356657
JSWSTEEL.NS,LTTS.NS,0.2695200409561562
KOTAKBANK.NS,LTTS.NS,0.21712926966918664
LTTS.NS,LTTS.NS,1.0
MARUTI.NS,LTTS.NS,0.20595231743430947
