Date,portfolio,MKT,SMB,MOM,RF
2024-05-22,-0.00825120920878444,0.00341221931580456,-0.004039367756835565,-0.007638972715498515,0.0001984126984126984
2024-05-23,-0.007936231222187385,0.006274133171462183,-0.011612532189285494,-0.010177290096584286,0.0001984126984126984
2024-05-24,0.0034495066261006047,-0.0010779403409625016,0.002703910676590879,0.008729193613271402,0.0001984126984126984
2024-05-27,-0.0021151927191096855,-0.0018535437037815559,-0.0003845064619753672,0.00799370322864444,0.0001984126984126984
2024-05-28,0.0054470154490349355,-2.0871512554964255e-05,0.001332676188076873,0.0013954948098521588,0.0001984126984126984
2024-05-29,-0.004969056087075608,-0.004763393170374823,0.004076834724175069,0.0005008986092083698,0.0001984126984126984
2024-05-30,-0.014815769199814163,-0.01610740071030214,-0.008439866034981177,0.011156374719005324,0.0001984126984126984
2024-05-31,0.0011340849921190122,-0.0017860351685668535,0.010674345887678948,0.008156721565422687,0.0001984126984126984
2024-06-03,0.01810251313472828,0.021492563987752095,-0.0014729708920885771,0.03737183484992226,0.0001984126984126984
2024-06-04,-0.028527228579142597,-0.029950644666059373,-0.012653706769700342,-0.011837214600357724,0.0001984126984126984
2024-06-05,0.021631460489633533,0.030063788196298267,-0.000436921390997224,0.003739085505890083,0.0001984126984126984
2024-06-06,0.0059370289482809134,0.005757500975493015,0.009503056929163093,-0.00011800018232631208,0.0001984126984126984
2024-06-07,0.0041733423226216,0.019656202897675782,0.0014987540789558954,0.01270186888322652,0.0001984126984126984
2024-06-10,0.0012073978338841434,0.0030651692220884617,-0.01056762166281188,0.0002340555833487848,0.0001984126984126984
2024-06-11,0.011374785601282736,0.0024580017856361113,0.0055908919687821445,0.018107263100087242,0.0001984126984126984
2024-06-12,0.009028367949826747,0.004711798338485442,0.0062929773079167485,0.004468091072639092,0.0001984126984126984
2024-06-13,-0.007928574895222563,0.0003921645225525874,0.0012835946522497287,0.003336951998691139,0.0001984126984126984
2024-06-14,0.005205829863975414,0.0005700321273210431,-0.0005178236398680279,0.002723447346852164,0.0001984126984126984
2024-06-17,0.0037298203066253085,0.0015357465799291214,0.0029435142781974824,0.004318769911076619,0.0001984126984126984
2024-06-18,-0.004642463753646739,0.0008964105477356512,0.001830510885939443,0.006889026193202736,0.0001984126984126984
2024-06-19,-0.0013157919865527873,-0.0010642066763122935,0.004855134695261809,0.019282256724170704,0.0001984126984126984
2024-06-20,0.00634362001221632,0.0014214015266229177,-0.00021470497923086482,0.0003528377020457021,0.0001984126984126984
2024-06-21,0.01028654551443379,-0.0007905277359112424,0.010315695206426674,0.0018961755844016301,0.0001984126984126984
2024-06-24,-0.000560604869049561,0.0017509681599641362,-0.00023618151036444214,0.0006201097501970588,0.0001984126984126984
2024-06-25,0.014402939970273655,0.005553746660585086,-0.001454489621929369,0.015997569658641915,0.0001984126984126984
2024-06-26,0.00024668066391680054,0.005806167724563839,-0.01390850728541411,0.012384984063248694,0.0001984126984126984
2024-06-27,0.012325078826187457,0.011902952256402182,0.003476676362443941,0.009518742565229936,0.0001984126984126984
2024-06-28,-0.01583208818875724,-0.003165531515495416,-0.0030885774470963342,0.010319517819983224,0.0001984126984126984
2024-07-01,0.01055455427263994,0.010248068333197087,-3.274115793633868e-05,0.01938091021065017,0.0001984126984126984
2024-07-02,0.004858452024283762,6.831207298641433e-06,0.010788246542786432,0.010298310246887417,0.0001984126984126984
2024-07-03,0.007092465823134266,0.0062165577703692295,0.006987820644297331,0.0019507864708521814,0.0001984126984126984
2024-07-04,0.00017707143239901972,0.0015255141360436698,-0.004755951727085604,-0.0018058320660129246,0.0001984126984126984
2024-07-05,0.018405873624737834,0.00603546765806306,-0.0014017172015014442,0.0055172646434401085,0.0001984126984126984
2024-07-08,-0.007621703416356141,-0.0001303711854903271,0.000912494329580402,0.003256731411153203,0.0001984126984126984
2024-07-09,0.0022551452055903655,0.006168322410470634,-0.009823950307423933,-0.01234500803691734,0.0001984126984126984
2024-07-10,0.004702342492928525,-0.001379694904152293,0.0018361920832223534,0.009001871412551328,0.0001984126984126984
2024-07-11,-0.017642523566584696,-0.004934717467918056,-0.00011336343462830297,0.004943321735192645,0.0001984126984126984
2024-07-12,0.0032117169463089152,0.009885834480600658,-0.00046450444916003135,0.02827839770414123,0.0001984126984126984
2024-07-15,0.004826570779683395,0.0016507064880632704,0.0028200413517175064,0.003081599934848752,0.0001984126984126984
2024-07-16,-0.005206569440675035,-0.0022516233377153747,-0.0029358592275633717,0.003648728801713408,0.0001984126984126984
2024-07-17,-0.010907103133690138,-0.002365692868195782,-0.004534244664041916,0.0019067840489312507,0.0001984126984126984
2024-07-18,-0.011780006466855772,0.004209914512385099,-0.007422983561190994,0.02154075955982615,0.0001984126984126984
2024-07-19,-0.013451005559867012,-0.011777458304436623,0.0001879325166087263,0.01749620754627617,0.0001984126984126984
2024-07-22,0.009960517243682195,0.0006871192623364007,-0.005489265663781096,-0.0032560257196216913,0.0001984126984126984
2024-07-23,0.0015462043781010334,0.003861413762478085,0.003366263232738006,0.01797899234573625,0.0001984126984126984
2024-07-24,-0.03292328586391016,-0.009367455701259774,-0.005780081129194275,0.019748217250519735,0.0001984126984126984
2024-07-25,-0.020438136601470716,-0.005014319519275306,0.0017798830597304787,0.019125572892657847,0.0001984126984126984
2024-07-26,0.00874806747756703,0.013608050826427432,0.008134779415608157,0.006825060644964432,0.0001984126984126984
2024-07-29,0.007177264834615451,-0.00048145379045843424,-0.0038068120305034736,-0.0004661506482853048,0.0001984126984126984
2024-07-30,0.00345929593020644,-0.0004437553181654768,0.0032716093661014954,-0.004024896191292284,0.0001984126984126984
2024-07-31,0.014219073579980446,0.005030994154680866,-0.000865368526007727,0.006035068614391277,0.0001984126984126984
2024-08-01,-0.002583227579962988,0.0022781885393390613,-0.0013718752730982812,0.007334925617220124,0.0001984126984126984
2024-08-02,-0.022803383884644313,-0.012029431074809872,-0.00042477430689295825,0.012990917476812025,0.0001984126984126984
2024-08-05,-0.0413293900880201,-0.027660225071086363,-0.012613000155977432,0.019358133655820096,0.0001984126984126984
2024-08-06,0.00214531405993006,-0.0005675337187739431,0.003670667862672568,-0.0007296114473322221,0.0001984126984126984
2024-08-07,0.01150623863261741,0.010308900933380008,0.010314447653357227,0.013303149845729507,0.0001984126984126984
2024-08-08,0.005040118945659982,-0.007946430443670363,0.006900793925827758,0.006096505731791895,0.0001984126984126984
2024-08-09,0.012972849916924436,0.007557043732092162,0.0036929855530474405,-0.0019134687255591507,0.0001984126984126984
2024-08-12,0.00176701902147404,-0.00014098437534568065,0.0001543969952285589,-0.001793278087075586,0.0001984126984126984
2024-08-13,0.004433678900343144,-0.0028019891956181132,-0.0011688800910185457,-0.0007601002444783678,0.0001984126984126984
2024-08-14,-0.017197442951744638,-0.0021846221401290735,-0.004897860302690402,0.008643506329037876,0.0001984126984126984
2024-08-15,0.00454548001722981,0.0013544937235523316,0.002596112970141969,0.0011044788760742805,0.0001984126984126984
2024-08-16,0.013612543239417357,0.017147114685922386,-0.0024974321727792397,0.005622105506139775,0.0001984126984126984
2024-08-19,0.01309954632454943,0.005155357804025815,0.006843021785377076,0.0020026395671309183,0.0001984126984126984
2024-08-20,0.0020925312202053122,0.005037008145272907,-0.0024059627841314553,0.0043818346820402474,0.0001984126984126984
2024-08-21,-0.0014189851626440582,0.0016733553750724677,-0.0030583033695485216,0.008484961075871204,0.0001984126984126984
2024-08-22,-0.003737935098715886,-0.0007587492412134653,-0.005875405429453956,-0.002242059068890253,0.0001984126984126984
2024-08-23,0.009916920764831716,0.0006012255234827884,0.0008571074156074753,0.004179945676410605,0.0001984126984126984
2024-08-26,0.009420033345361959,0.00437225349079991,0.0018503950185775383,0.004248277132541056,0.0001984126984126984
2024-08-27,-0.00879486368004434,-0.0015169781619806604,-0.004828282300869158,-0.003124173776367914,0.0001984126984126984
2024-08-28,-0.004966913547152608,0.0008468923201550451,0.0011104758104872956,0.02347709264122942,0.0001984126984126984
2024-08-29,-0.004364353858200947,0.00254986283623182,-0.005404273278352955,0.007861490005367178,0.0001984126984126984
2024-08-30,0.005296241514157656,0.003131945347925332,0.0008583452314799263,-0.005864089958705132,0.0001984126984126984
2024-09-02,3.2013101843712324e-05,0.0004333111935973811,-0.004134530880482057,0.00263452597101989,0.0001984126984126984
2024-09-03,-0.023246116089108357,-0.0033627941152826577,-0.010513949176319011,0.0007076781533212578,0.0001984126984126984
2024-09-04,-0.004151401794794444,-0.0029924487790729225,-0.007556149042124435,-0.0062802227177754435,0.0001984126984126984
2024-09-05,0.0009871035890262362,-0.001237902510500691,0.004817561541792244,0.005064019239171673,0.0001984126984126984
2024-09-06,-0.020267811219437937,-0.009523662621629075,-0.001587009034578998,0.003404714875456365,0.0001984126984126984
2024-09-09,-0.004132539673602088,0.003139458259702386,-0.0052824903555537825,0.007580242746130641,0.0001984126984126984
2024-09-10,0.001149814629201986,0.006186069372581854,0.00011523456690723001,0.0033125314260449767,0.0001984126984126984
2024-09-11,0.006202070073420241,-0.0013605032744824787,0.0018953661328384652,-0.0006552056605272202,0.0001984126984126984
2024-09-12,0.021196212698674947,0.015140579622697345,0.0047673402247007685,0.007427969797060476,0.0001984126984126984
2024-09-13,0.008606596749637416,0.001916766820768424,0.004785112674159629,0.004116207488198472,0.0001984126984126984
2024-09-16,0.004325865480801868,-0.0005721310199467253,0.0029062787268858315,0.0046369693576034455,0.0001984126984126984
2024-09-17,0.0024841649782278022,-0.0005603773058293577,0.0008958331022547206,6.576603769038942e-05,0.0001984126984126984
2024-09-18,0.002840054347286316,-0.006053159542680535,-0.00013797145008805165,0.009447955999155584,0.0001984126984126984
2024-09-19,0.009534914080482916,0.004596168561110713,0.0018259897103524076,0.010982032901394243,0.0001984126984126984
2024-09-20,0.016990126866959686,0.012342817324394273,-0.0013258270327409262,0.01323821705822473,0.0001984126984126984
2024-09-23,-0.0069288368316421005,0.004217427005096139,-0.004160282211776067,0.005877873904718469,0.0001984126984126984
2024-09-24,0.0037981692827177374,0.0007510977115127209,0.011192926588153669,-0.007092121881662956,0.0001984126984126984
2024-09-25,-0.004361445182777807,0.0028148691306837197,0.0005221143867054322,0.010931474478380974,0.0001984126984126984
2024-09-26,0.011601030819336871,0.010742194826350337,-0.005165886710217733,0.0104715960441722,0.0001984126984126984
2024-09-27,0.0013031738856742958,-0.0023097309750763385,-0.005084807360683099,0.001769569630366341,0.0001984126984126984
2024-09-30,0.014337064863442044,-0.005929887501321729,0.017492153178309815,0.004667915472925999,0.0001984126984126984
2024-10-01,-0.001084377982251519,-0.0017591142856488125,-0.0016825990312068,0.00147437174243075,0.0001984126984126984
2024-10-02,-0.0029912635102028037,-0.0005525831159007747,-0.0010591176388098182,0.0002422391375605594,0.0001984126984126984
2024-10-03,0.000961843228698661,-0.015411996403302226,0.012259092953071997,0.01292594570573943,0.0001984126984126984
2024-10-04,0.00168784169031246,-0.006640389171775504,0.005774478403050159,0.007805323615749799,0.0001984126984126984
2024-10-07,-0.01982821810189804,-0.010140811639463154,-0.003350476738623832,-0.0009959424282237617,0.0001984126984126984
2024-10-08,0.0009285096110884685,0.0027909722791523177,-0.0034143766134740383,-0.004783823120409639,0.0001984126984126984
2024-10-09,-0.005760439709746384,-0.0021657915220746676,0.00043894393520132373,0.013859575680388234,0.0001984126984126984
2024-10-10,0.004320640420568375,0.0010281491603597738,0.0058096061231598444,0.012082000065914627,0.0001984126984126984
2024-10-11,0.0025880471166560767,-0.0017453615185660943,0.004563027962123997,0.0033048828454258655,0.0001984126984126984
2024-10-14,0.0078060564604690305,0.005545776954032572,0.012596364720635673,0.001244632236795432,0.0001984126984126984
2024-10-15,0.0008691487542130292,-0.003347754192314367,-0.003895109274418102,0.003585637285282257,0.0001984126984126984
2024-10-16,-0.0061199067024070904,-0.003971917725851534,-0.0015926536247592759,0.0005493000930049119,0.0001984126984126984
2024-10-17,-0.01033953326572474,-0.008370910040299507,0.010532123599142483,0.01314097038089257,0.0001984126984126984
2024-10-18,0.009929155596097545,0.005412374188161231,-0.0013672767337395463,0.016284396954466866,0.0001984126984126984
2024-10-21,-0.0009512492329537554,-0.002801549215144204,-0.0025805746709160245,0.007282109081317831,0.0001984126984126984
2024-10-22,-0.002101210326144428,-0.007571514642508536,0.0008574336945638252,0.011720513131219452,0.0001984126984126984
2024-10-23,-0.013680838838107744,-0.003715967325623003,-0.003081273575600729,0.001266516248645837,0.0001984126984126984
2024-10-24,0.000996867147146553,-0.003093931020827175,0.004458344875934212,0.015642625026749225,0.0001984126984126984
2024-10-25,0.004264604792519334,-0.0013996271063031521,0.0005553833900824993,0.007883130738419333,0.0001984126984126984
2024-10-28,0.014657643462317566,0.007676378425147003,0.00043394012415842124,0.000701016111996149,0.0001984126984126984
2024-10-29,0.008826763492362203,0.0014255921475212147,0.0029345692801827352,0.01888256181944584,0.0001984126984126984
2024-10-30,0.010026089496038271,-0.0026090764270819784,-0.003683891788050988,-0.0020088754652079726,0.0001984126984126984
2024-10-31,-0.011081791866335663,-0.012298469448347733,0.004308096727862578,-0.013720369953097682,0.0001984126984126984
2024-11-01,0.00035428256589351345,0.003042579822718383,-0.0036007418054147837,-0.004006310656527758,0.0001984126984126984
2024-11-04,-0.011684273883193895,-0.011602800708181933,0.003711165340432608,-0.004053878788086876,0.0001984126984126984
2024-11-05,0.017503689658795212,0.009106113988265552,0.005192637018608765,0.017026134308139863,0.0001984126984126984
2024-11-06,0.022025269278280055,0.015264200677144459,0.0004008368318015078,0.008289788447233097,0.0001984126984126984
2024-11-07,0.007512019877602866,-0.006773279818061553,0.00725199516431633,0.010961780469475315,0.0001984126984126984
2024-11-08,-0.005887570231604736,-0.0005735723034661898,0.0011564480970603255,-0.004336932628049859,0.0001984126984126984
2024-11-11,-0.00033855950144192867,0.0011100648212758807,0.00249105457675244,0.012167414286496259,0.0001984126984126984
2024-11-12,-0.0031228848768522885,-0.005406013760372139,-0.005807201595123532,0.0067311160343515985,0.0001984126984126984
2024-11-13,-0.014648951824486334,-0.011638225380522916,0.0003141801581005958,0.003944447910823521,0.0001984126984126984
2024-11-14,-0.006096621468626644,-0.0034271520388826056,0.002672932903736346,0.006890484070301826,0.0001984126984126984
2024-11-15,-0.010389712117477143,-0.0025895956309512093,-0.004963391625989817,-0.002514121768932604,0.0001984126984126984
2024-11-18,0.012591864201055781,-0.0022439754499749527,0.005324531327878161,-0.01088686153028446,0.0001984126984126984
2024-11-19,0.0070729387809117875,0.004463863185156067,0.005235931817678152,0.01375559920768965,0.0001984126984126984
2024-11-20,-0.005477627580367637,-0.0006245762758596708,-0.0011971045287310356,-0.001716316639741525,0.0001984126984126984
2024-11-21,-0.024276008689112172,-0.0022856548333391917,-0.0044145322994125465,0.0053966021972567625,0.0001984126984126984
2024-11-22,0.004356877373424055,0.02122316282723864,-0.006019547297590657,0.01760926094358549,0.0001984126984126984
2024-11-25,0.004637509514579761,0.009810286671042475,-0.0055526219160760325,0.01027123554610638,0.0001984126984126984
2024-11-26,0.00870527207303572,0.0006650664524418803,0.010863319071609373,0.0062111329566868,0.0001984126984126984
2024-11-27,0.0016514725220918795,0.0002812340922027235,-0.0018347564389434292,0.002487523514177232,0.0001984126984126984
2024-11-28,-0.005511191836079964,-0.012085104948214914,0.0029433553485625,-0.0077295319266750435,0.0001984126984126984
2024-11-29,0.004977690127822141,0.007825622878832454,-0.008429479574778648,-0.006353846227408405,0.0001984126984126984
2024-12-02,0.016011741780968893,0.009980109581459508,-0.0009811800623214864,0.007503881624881439,0.0001984126984126984
2024-12-03,0.0043872064668727,0.005154736650213169,-0.004775545464561518,0.007692384253316309,0.0001984126984126984
2024-12-04,0.008122240577619245,0.00018228435411300577,0.0033711491921406293,0.0149031850300981,0.0001984126984126984
2024-12-05,-0.002266163624689069,0.007706791264386487,0.0014966378932864842,0.0020417438683386,0.0001984126984126984
2024-12-06,0.0069037821430018645,0.0016786179491441022,0.00165187939866653,-0.005558156807806025,0.0001984126984126984
2024-12-09,0.0061286669824939565,-0.001239945317590737,0.014612080260015524,0.0164239651492034,0.0001984126984126984
2024-12-10,0.02849881311487957,0.0026100387869933575,0.007536807723639259,0.007966242899997256,0.0001984126984126984
2024-12-11,0.022442136545411513,0.003981255334426484,0.002575759753012393,0.0080658032363394,0.0001984126984126984
2024-12-12,-0.006147445310320813,-0.0026356433414238883,0.0032936516370107253,0.0057420064570285565,0.0001984126984126984
2024-12-13,-0.006143366339706604,0.006025083315840748,-0.005899536507428933,-0.0040867135984942494,0.0001984126984126984
2024-12-16,0.01644630645526613,0.0006256543574142114,0.006761595674950689,0.006851167150558826,0.0001984126984126984
2024-12-17,-0.009679936929420365,-0.009815127845525103,0.004178972489227108,0.011115382771761684,0.0001984126984126984
2024-12-18,-0.02763313179593214,-0.007863985700188614,-0.0054863252330311805,0.0005653807499752684,0.0001984126984126984
2024-12-19,-0.007049955054830332,-0.0058546089256199816,0.007353464790317151,0.013183375699974204,0.0001984126984126984
2024-12-20,0.006747656479542626,-0.011058830001427952,0.01231714052684519,0.019056724429495193,0.0001984126984126984
2024-12-23,0.01548169519512394,0.004341360560285837,0.00671033631809972,0.004896487985601161,0.0001984126984126984
2024-12-24,0.0004688008347501601,-0.0015807465492974264,0.0009483036923757535,0.005959722672833607,0.0001984126984126984
2024-12-26,-0.003235132323724656,-0.0010948254699589821,-3.570643704215717e-05,0.005027710249715711,0.0001984126984126984
2024-12-27,-0.008521536825257452,0.000960357984098538,-0.0027684049966403596,0.0007764463563244722,0.0001984126984126984
2024-12-30,-0.010981849385041674,-0.007158908885656599,-0.007399481114324244,-0.001989551863521899,0.0001984126984126984
2024-12-31,-0.0058822110579361524,-5.1535559839190604e-05,0.002883101687749369,0.0032838316975927046,0.0001984126984126984
2025-01-01,0.0015040070155735545,0.0010966638873106478,-0.004023151775177288,-0.0005625295655858422,0.0001984126984126984
2025-01-02,-6.98892886226205e-05,0.014593669066259599,-0.012878720348901767,0.00783402421892186,0.0001984126984126984
2025-01-03,0.005098136275892676,-0.0043383603397793204,-0.0026516437383199754,0.0035868707985939894,0.0001984126984126984
2025-01-06,0.008925579171191533,-0.012457134899600666,-0.0001659087575623542,0.017026405092481083,0.0001984126984126984
2025-01-07,-0.0003555130268598053,0.0022633584702118335,-0.008702162474325929,-0.005514402576292147,0.0001984126984126984
2025-01-08,-0.007454940838373004,0.0022957399234789064,-0.0009670523160377864,0.003154360393219131,0.0001984126984126984
